Task,Model,Type,Epoch,Accuracy,F1,Precision,Recall,Loss,Step,Runtime,Samples Per Second,Steps Per Second
B3_v2,RoBERTa,train,1,0.9512,0.9509946864752192,0.9525425069481313,0.9512,0.1974037736654281,12500,261.1138,382.975,47.872
B3_v2,RoBERTa,train,3,0.97819,0.97817812937527,0.9781918819143464,0.97819,0.1005346253514289,37500,261.6678,382.164,47.77
C1_v1,BERT,eval,6,0.9316,0.9315536955667983,0.9315734590239608,0.9316,0.2630808353424072,75000,53.3571,374.833,46.854
C1_v1,BERT,eval,10,0.9345,0.9344767370782988,0.9346300156312756,0.9345,0.2552529275417328,125000,53.809,371.685,46.461
C1_v1,BERT,train,10,0.94568,0.9456806764496516,0.9457972441301024,0.94568,0.1999915242195129,125000,275.142,363.449,45.431
C1_v1,BERT,eval,9,0.93425,0.9342146950219384,0.9342620139064488,0.93425,0.2545095384120941,112500,53.4837,373.946,46.743
C1_v1,BERT,train,9,0.94521,0.945187432789568,0.945215274549096,0.94521,0.2003153860569,112500,273.8081,365.219,45.652
C1_v1,BERT,eval,8,0.93435,0.9343516834666984,0.9345373391750657,0.93435,0.2557679116725921,100000,53.6562,372.744,46.593
C1_v1,BERT,train,8,0.94492,0.94494046295569,0.9450895002816936,0.94492,0.2026085406541824,100000,273.1636,366.081,45.76
C1_v1,BERT,eval,7,0.93345,0.9333701499245856,0.9333770863235828,0.93345,0.2561192214488983,87500,53.9616,370.634,46.329
C1_v1,BERT,train,7,0.94323,0.9431714708561458,0.94316283100872,0.94323,0.2064738124608993,87500,274.4663,364.343,45.543
C1_v1,BERT,train,6,0.94183,0.941803537593388,0.9418169381422548,0.94183,0.2134251892566681,75000,274.1123,364.814,45.602
C1_v1,BERT,train,3,0.93281,0.9326772771961808,0.9328184162853284,0.93281,0.2419522404670715,37500,273.8263,365.195,45.649
C1_v1,BERT,train,5,0.94061,0.9406417123960952,0.9409437227331444,0.94061,0.2156670838594436,62500,273.0502,366.233,45.779
C1_v1,BERT,eval,1,0.91425,0.91406888810007,0.9144734364498563,0.91425,0.3077276945114136,12500,55.5517,360.025,45.003
C1_v1,BERT,train,2,0.92687,0.9268169841630152,0.9276531821663716,0.92687,0.2610243558883667,25000,274.6988,364.035,45.504
C1_v1,BERT,eval,2,0.92215,0.9220830881754756,0.9229403402336926,0.92215,0.2843632400035858,25000,53.6964,372.464,46.558
C1_v1,BERT,train,1,0.91697,0.9167695474638292,0.917216110717372,0.91697,0.2923523485660553,12500,281.1762,355.649,44.456
C1_v1,BERT,eval,3,0.92845,0.928315386274313,0.9285312523679048,0.92845,0.2696169018745422,37500,53.8217,371.597,46.45
C1_v1,BERT,train,4,0.93404,0.9340117231303708,0.9343254204126696,0.93404,0.2387908995151519,50000,273.6302,365.457,45.682
C1_v1,BERT,eval,4,0.92605,0.926006475081441,0.9262825335752932,0.92605,0.276842713356018,50000,53.6335,372.901,46.613
C1_v1,BERT,eval,5,0.9315,0.9315064246672212,0.9318835867329776,0.9315,0.2590124607086181,62500,53.8602,371.332,46.416
C1_v2,BERT,eval,6,0.9158,0.9157818298719972,0.9164765378475016,0.9158,0.2999050915241241,75000,55.0437,363.348,45.418
C1_v2,BERT,train,10,0.92105,0.9210336059525313,0.921580835538666,0.92105,0.2752309441566467,125000,278.9862,358.441,44.805
C1_v2,BERT,eval,9,0.91715,0.9171054058415352,0.9176643501557606,0.91715,0.295421689748764,112500,54.8823,364.416,45.552
C1_v2,BERT,train,9,0.92111,0.9210825218727324,0.921585144140358,0.92111,0.2754456996917724,112500,277.3686,360.531,45.066
C1_v2,BERT,eval,8,0.917,0.9169768796861724,0.9174915402947492,0.917,0.2963564991950989,100000,54.2562,368.621,46.078
C1_v2,BERT,train,8,0.92038,0.9203650217118676,0.9208460477519874,0.92038,0.2771925330162048,100000,275.8031,362.578,45.322
C1_v2,BERT,eval,7,0.91645,0.916421038096181,0.9169923423429266,0.91645,0.2962336540222168,87500,54.3803,367.78,45.973
C1_v2,BERT,train,7,0.9193,0.9192647934013508,0.919784546759974,0.9193,0.2785564661026001,87500,274.9168,363.746,45.468
C1_v2,BERT,train,6,0.91782,0.9177850605099376,0.918393425095254,0.91782,0.2833527028560638,75000,275.9228,362.42,45.303
C1_v2,BERT,eval,10,0.91745,0.9174275583738758,0.918028029860136,0.91745,0.2953013777732849,125000,54.89,364.365,45.546
C1_v2,BERT,train,5,0.91552,0.9154988881206962,0.9161235415533878,0.91552,0.2871859073638916,62500,278.1854,359.472,44.934
C1_v2,BERT,train,1,0.89231,0.8924859497614005,0.893739303936796,0.8923099999999999,0.3664576113224029,12500,278.2082,359.443,44.93
C1_v2,BERT,eval,1,0.89035,0.8904762384828103,0.8916112416233053,0.8903500000000001,0.3699961602687835,12500,54.3053,368.288,46.036
C1_v2,BERT,train,2,0.90432,0.9043402196881116,0.9056514243122328,0.90432,0.3320206105709076,25000,278.4051,359.189,44.899
C1_v2,BERT,eval,2,0.90145,0.9014626794605656,0.9028932975387836,0.90145,0.3409000933170318,25000,54.4315,367.434,45.929
C1_v2,BERT,eval,5,0.9132,0.913201434124378,0.9138823302724236,0.9132,0.3033289909362793,62500,54.6302,366.098,45.762
C1_v2,BERT,eval,3,0.9066,0.9065379124338112,0.907669628447769,0.9066,0.3216082751750946,37500,54.4469,367.33,45.916
C1_v2,BERT,train,4,0.91243,0.9124649020430986,0.9133292172597128,0.91243,0.2993085980415344,50000,277.9379,359.793,44.974
C1_v2,BERT,eval,4,0.91065,0.9107476173565272,0.9117839655907654,0.91065,0.3126934170722961,50000,54.8522,364.616,45.577
C1_v2,BERT,train,3,0.90902,0.9089389323444932,0.9099608092429304,0.90902,0.310755044221878,37500,277.3138,360.602,45.075
C2_v1,DistilBERT,train,6,0.94661,0.9465734481445174,0.9466689824457531,0.94661,0.1760644167661667,75000,144.1653,693.648,86.706
C2_v1,DistilBERT,train,10,0.95068,0.9506743976605192,0.9508927784608794,0.95068,0.1647084355354309,125000,143.1265,698.683,87.335
C2_v1,DistilBERT,eval,9,0.939,0.9389210844204898,0.9391334716276726,0.939,0.2207633256912231,112500,28.3859,704.576,88.072
C2_v1,DistilBERT,train,9,0.9504,0.9503694578246772,0.9505222679389572,0.9504,0.1660334318876266,112500,144.0174,694.361,86.795
C2_v1,DistilBERT,eval,8,0.9389,0.938874646601156,0.9391706620715422,0.9389,0.2191938161849975,100000,28.1848,709.603,88.7
C2_v1,DistilBERT,train,8,0.94982,0.9498278610174288,0.9501165803982864,0.94982,0.1676656901836395,100000,143.863,695.106,86.888
C2_v1,DistilBERT,eval,7,0.93795,0.937849075801761,0.9383296727382774,0.93795,0.2148324400186538,87500,28.3487,705.5,88.187
C2_v1,DistilBERT,train,7,0.94843,0.9483660392677334,0.948771856834246,0.94843,0.1669254451990127,87500,144.5033,692.026,86.503
C2_v1,DistilBERT,eval,6,0.93715,0.9370733207712386,0.9371990919037676,0.93715,0.2214987576007843,75000,28.5101,701.506,87.688
C2_v1,DistilBERT,eval,10,0.9392,0.9391528130170912,0.9394181742705132,0.9392,0.2198560982942581,125000,28.5851,699.665,87.458
C2_v1,DistilBERT,eval,5,0.93515,0.9351339407639684,0.9354332318302706,0.93515,0.2184975147247314,62500,27.9944,714.429,89.304
